DATE_KEY,DATE_FLD,DATE_NAME,DATE_KEY_LY,DATE_FLD_LY,DAY_IN_YEAR,DAY_IN_MONTH,DAY_IN_WEEK,DAY_TYPE,YEAR_OF_DAY,YEAR_NAME,HALF_IN_YEAR,HALF_YEAR_NAME,QUARTER_IN_YEAR,QUARTER_NAME,MONTH_IN_QUARTER,MONTH_IN_YEAR,MONTH_NAME,WEEK_IN_YEAR,WEEK_NAME_IN_YEAR,WEEK_IN_MONTH,WEEK_NAME_IN_MONTH,WEEK_ST_DATE_KEY,WEEK_END_DATE_KEY,MONTH_ST_DATE_KEY,MONTH_END_DATE_KEY
6210,2023-01-01 00:00:00.000,Sunday,5845,2022-01-01 00:00:00.000,1,1,1,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6211,2023-01-02 00:00:00.000,Monday,5846,2022-01-02 00:00:00.000,2,2,2,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6212,2023-01-03 00:00:00.000,Tuesday,5847,2022-01-03 00:00:00.000,3,3,3,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6213,2023-01-04 00:00:00.000,Wednesday,5848,2022-01-04 00:00:00.000,4,4,4,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6214,2023-01-05 00:00:00.000,Thursday,5849,2022-01-05 00:00:00.000,5,5,5,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6215,2023-01-06 00:00:00.000,Friday,5850,2022-01-06 00:00:00.000,6,6,6,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6216,2023-01-07 00:00:00.000,Saturday,5851,2022-01-07 00:00:00.000,7,7,7,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202301,W1,1,W1,6210,6216,6210,6240
6217,2023-01-08 00:00:00.000,Sunday,5852,2022-01-08 00:00:00.000,8,8,1,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6218,2023-01-09 00:00:00.000,Monday,5853,2022-01-09 00:00:00.000,9,9,2,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6219,2023-01-10 00:00:00.000,Tuesday,5854,2022-01-10 00:00:00.000,10,10,3,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6220,2023-01-11 00:00:00.000,Wednesday,5855,2022-01-11 00:00:00.000,11,11,4,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6221,2023-01-12 00:00:00.000,Thursday,5856,2022-01-12 00:00:00.000,12,12,5,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6222,2023-01-13 00:00:00.000,Friday,5857,2022-01-13 00:00:00.000,13,13,6,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6223,2023-01-14 00:00:00.000,Saturday,5858,2022-01-14 00:00:00.000,14,14,7,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202302,W2,2,W2,6217,6223,6210,6240
6224,2023-01-15 00:00:00.000,Sunday,5859,2022-01-15 00:00:00.000,15,15,1,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202303,W3,3,W3,6224,6230,6210,6240
6225,2023-01-16 00:00:00.000,Monday,5860,2022-01-16 00:00:00.000,16,16,2,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202303,W3,3,W3,6224,6230,6210,6240
6226,2023-01-17 00:00:00.000,Tuesday,5861,2022-01-17 00:00:00.000,17,17,3,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202303,W3,3,W3,6224,6230,6210,6240
6227,2023-01-18 00:00:00.000,Wednesday,5862,2022-01-18 00:00:00.000,18,18,4,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202303,W3,3,W3,6224,6230,6210,6240
6228,2023-01-19 00:00:00.000,Thursday,5863,2022-01-19 00:00:00.000,19,19,5,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202303,W3,3,W3,6224,6230,6210,6240
